Time,Sensor,Bubble
2022-12-15 14:15:35.022017,0,LIQUID
2022-12-15 14:15:35.331686,0,AIR
2022-12-15 14:15:37.515597,0,AIR
2022-12-15 14:15:37.658527,0,LIQUID
2022-12-15 14:15:37.939531,0,AIR
2022-12-15 14:15:50.478831,0,AIR
2022-12-15 14:15:53.030909,0,AIR
2022-12-15 14:16:05.904422,0,AIR
2022-12-15 14:16:08.152353,0,AIR
2022-12-15 14:16:21.370827,0,LIQUID
2022-12-15 14:16:21.478531,0,AIR
2022-12-15 14:16:21.642537,0,LIQUID
2022-12-15 14:16:23.351864,0,AIR
2022-12-15 14:16:23.459628,0,AIR
2022-12-15 14:16:36.323711,0,LIQUID
2022-12-15 14:16:36.565484,0,LIQUID
2022-12-15 14:16:38.890620,0,LIQUID
2022-12-15 14:16:39.161485,0,LIQUID
2022-12-15 14:16:51.759654,0,LIQUID
2022-12-15 14:16:54.205143,0,AIR
2022-12-15 14:17:07.151758,0,AIR
2022-12-15 14:17:09.323222,0,LIQUID
2022-12-15 14:17:09.423297,0,LIQUID
2022-12-15 14:17:22.524250,0,LIQUID
2022-12-15 14:18:39.774909,0,AIR
2022-12-15 14:18:40.356714,0,AIR
2022-12-15 14:18:40.456813,0,LIQUID
2022-12-15 14:19:43.500992,0,AIR
2022-12-15 14:19:44.164866,0,LIQUID
2022-12-15 14:19:51.956240,0,AIR
2022-12-15 14:19:52.170900,0,LIQUID
2022-12-15 14:19:53.071427,0,LIQUID
2022-12-15 14:20:09.707201,0,AIR
2022-12-15 14:20:10.365213,0,LIQUID
2022-12-15 14:20:18.154057,0,AIR
2022-12-15 14:20:18.370537,0,LIQUID
2022-12-15 14:20:24.058686,0,LIQUID
2022-12-15 14:20:35.910650,0,AIR
2022-12-15 14:20:36.566812,0,LIQUID
2022-12-15 14:20:44.356052,0,AIR
2022-12-15 14:20:44.571187,0,LIQUID
2022-12-15 14:21:02.205446,0,AIR
2022-12-15 14:21:02.864446,0,LIQUID
2022-12-15 14:21:10.661370,0,AIR
2022-12-15 14:21:10.877914,0,LIQUID
2022-12-15 14:21:28.526177,0,AIR
2022-12-15 14:21:29.182184,0,LIQUID
2022-12-15 14:21:36.978189,0,AIR
2022-12-15 14:21:37.192495,0,LIQUID
2022-12-15 14:21:54.821951,0,AIR
2022-12-15 14:21:55.483309,0,LIQUID
2022-12-15 14:22:03.281967,0,AIR
2022-12-15 14:22:03.497255,0,LIQUID
2022-12-15 14:22:21.226637,0,AIR
2022-12-15 14:22:21.881979,0,LIQUID
2022-12-15 14:22:29.777882,0,AIR
2022-12-15 14:22:29.991917,0,LIQUID
2022-12-15 14:22:47.722153,0,AIR
2022-12-15 14:22:48.376703,0,LIQUID
2022-12-15 14:22:56.273152,0,AIR
2022-12-15 14:22:56.486309,0,LIQUID
2022-12-15 14:23:14.218130,0,AIR
2022-12-15 14:23:14.871354,0,LIQUID
2022-12-15 14:23:22.770927,0,AIR
2022-12-15 14:23:22.985779,0,LIQUID
2022-12-15 14:23:40.809122,0,AIR
2022-12-15 14:23:41.464408,0,LIQUID
2022-12-15 14:23:49.454826,0,AIR
2022-12-15 14:23:49.668087,0,LIQUID
2022-12-15 14:24:07.527630,0,AIR
2022-12-15 14:24:08.181665,0,LIQUID
2022-12-15 14:24:16.173698,0,AIR
2022-12-15 14:24:16.388514,0,LIQUID
2022-12-15 14:24:34.214166,0,AIR
2022-12-15 14:24:34.867335,0,LIQUID
2022-12-15 14:24:42.858876,0,AIR
2022-12-15 14:24:43.071788,0,LIQUID
2022-12-15 14:25:00.899740,0,AIR
2022-12-15 14:25:01.552578,0,LIQUID
2022-12-15 14:25:09.642222,0,AIR
2022-12-15 14:25:09.857838,0,LIQUID
2022-12-15 14:25:27.681461,0,AIR
2022-12-15 14:25:28.333643,0,LIQUID
2022-12-15 14:25:36.426539,0,AIR
2022-12-15 14:25:36.639828,0,LIQUID
2022-12-15 14:25:54.464059,0,AIR
2022-12-15 14:25:55.115628,0,LIQUID
2022-12-15 14:26:03.206328,0,AIR
2022-12-15 14:26:03.420079,0,LIQUID
2022-12-15 14:26:21.358144,0,AIR
2022-12-15 14:26:22.009890,0,LIQUID
2022-12-15 14:26:30.115786,0,AIR
2022-12-15 14:26:30.328924,0,LIQUID
2022-12-15 14:26:48.268572,0,AIR
2022-12-15 14:26:48.920908,0,LIQUID
2022-12-15 14:26:57.026367,0,AIR
2022-12-15 14:26:57.239403,0,LIQUID
2022-12-15 14:27:15.179399,0,AIR
2022-12-15 14:27:15.831750,0,LIQUID
2022-12-15 14:27:23.923945,0,AIR
2022-12-15 14:27:24.140954,0,LIQUID
2022-12-15 14:27:42.171034,0,AIR
2022-12-15 14:27:42.823779,0,LIQUID
2022-12-15 14:27:51.024745,0,AIR
2022-12-15 14:27:51.242320,0,LIQUID
2022-12-15 14:28:09.289537,0,AIR
2022-12-15 14:28:09.942531,0,LIQUID
2022-12-15 14:28:18.145698,0,AIR
2022-12-15 14:28:18.363209,0,LIQUID
2022-12-15 14:28:36.410653,0,AIR
2022-12-15 14:28:37.064050,0,LIQUID
2022-12-15 14:28:45.260456,0,AIR
2022-12-15 14:28:45.475542,0,LIQUID
2022-12-15 14:29:03.626694,0,AIR
2022-12-15 14:29:04.278297,0,LIQUID
2022-12-15 14:29:12.572628,0,AIR
2022-12-15 14:29:12.787480,0,LIQUID
2022-12-15 14:29:30.937070,0,AIR
2022-12-15 14:29:31.588978,0,LIQUID
2022-12-15 14:29:39.879077,0,AIR
2022-12-15 14:29:40.092796,0,LIQUID
2022-12-15 14:29:58.232225,0,AIR
2022-12-15 14:29:58.884461,0,LIQUID
2022-12-15 14:30:07.173598,0,AIR
2022-12-15 14:30:07.390919,0,LIQUID
2022-12-15 14:30:25.676607,0,AIR
2022-12-15 14:30:26.331958,0,LIQUID
2022-12-15 14:30:34.700373,0,AIR
2022-12-15 14:30:34.915545,0,LIQUID
2022-12-15 14:30:53.151031,0,AIR
2022-12-15 14:30:53.805618,0,LIQUID
2022-12-15 14:31:02.181383,0,AIR
2022-12-15 14:31:02.396306,0,LIQUID
2022-12-15 14:31:07.656022,0,LIQUID
2022-12-15 14:31:07.762106,0,LIQUID
